[2024-07-29 12:53:44,647] 20 root - INFO - pickle file location -  F:\python\student_performance_analysis\artifacts\preprocessor.pkl
[2024-07-29 12:53:45,999] 28 root - INFO - Entered the data ingestion method or component
[2024-07-29 12:53:46,276] 31 root - INFO - Read the dataset as dataframe
[2024-07-29 12:53:46,314] 35 root - INFO - Raw data file had been created
[2024-07-29 12:53:46,419] 38 root - INFO - Raw data had been splited
[2024-07-29 12:53:46,425] 41 root - INFO - Train data had been created
[2024-07-29 12:53:46,428] 43 root - INFO - Test data had been created
[2024-07-29 12:53:46,442] 68 root - INFO - Train and Test data had been read
[2024-07-29 12:53:46,443] 69 root - INFO - Obtaining preprocessor object
[2024-07-29 12:53:46,443] 28 root - INFO - Entered get_data_transformation_object function in the class
[2024-07-29 12:53:46,444] 40 root - INFO - Numerical columns encoding completed
[2024-07-29 12:53:46,444] 50 root - INFO - Catagorical columns Encoding completed
[2024-07-29 12:53:46,482] 82 root - INFO - Applying preprocessing object on training dataframe and testing dataframe
[2024-07-29 12:53:46,660] 96 root - INFO - Saved preprocessing object
[2024-07-29 12:53:46,660] 37 root - INFO - Spliting training and testing data 
[2024-07-29 12:53:46,661] 93 root - INFO - Evaluation model started
[2024-07-29 12:55:34,262] 95 root - INFO - result: {'Randomforest': 0.8524805319289827, 'Adaboost': 0.8523868265783365, 'Gradient Boosting': 0.8767136545899044, 'Xgboost': 0.8492434722253639, 'K-Neighbour': 0.47561174068704326, 'Linear Regression': 0.8763155034306135, 'Decision Tree': 0.7562037064433726}
[2024-07-29 12:55:34,262] 96 root - INFO - Evaluation model ended
[2024-07-29 12:55:34,263] 108 root - INFO - Best model found on both testing and training dataset
